Execution Time Results
Execution Time: 1.134740 seconds
Producers: 10, Consumers: 10

Execution Time: 0.975273 seconds
Producers: 20, Consumers: 20

Execution Time: 1.323600 seconds
Producers: 30, Consumers: 30

Execution Time: 1.040230 seconds
Producers: 40, Consumers: 40

Execution Time: 1.097610 seconds
Producers: 50, Consumers: 50

Execution Time: 1.281720 seconds
Producers: 60, Consumers: 60

Execution Time: 1.334600 seconds
Producers: 70, Consumers: 70

Execution Time: 1.028250 seconds
Producers: 80, Consumers: 80

Execution Time: 1.380860 seconds
Producers: 90, Consumers: 90

Execution Time: 1.176760 seconds
Producers: 100, Consumers: 100

Execution Time Results
Execution Time: 0.914679 seconds
Producers: 1, Consumers: 1

